sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	GBIF:5042291	Nomia tetrazonata						Nomia	tetrazonata								RO:0002454	hasHost		GBIF:3152612	Abutilon parvulum						Abutilon	parvulum											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-10			
		Lepidoptera															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
		Lepidoptera															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:9406984	Cisthene angelus						Cisthene	angelus								RO:0002622	visitsFlowersOf		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:9406984	Cisthene angelus						Cisthene	angelus								RO:0002622	visitsFlowersOf		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:9406984	Cisthene angelus						Cisthene	angelus								RO:0002622	visitsFlowersOf		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:9406984	Cisthene angelus						Cisthene	angelus								RO:0002622	visitsFlowersOf		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1540979	Allograpta exotica						Allograpta	exotica								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
	GBIF:1534183	Toxomerus marginatus						Toxomerus	marginatus								RO:0002622	visitsFlowersOf		GBIF:8110338	Perityle emoryi						Perityle	emoryi											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-17			
		Lepidoptera															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-06			
		Lepidoptera															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-06			
		Lepidoptera															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-06T14:52:04			
	ITIS:134153	Bombyliidae															RO:0002622	visitsFlowersOf		GBIF:9206251	Helianthus annuus						Helianthus	annuus											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-11			
	ITIS:134153	Bombyliidae															RO:0002622	visitsFlowersOf		GBIF:9206251	Helianthus annuus						Helianthus	annuus											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-11T12:42:14			
	ITIS:134153	Bombyliidae															RO:0002622	visitsFlowersOf		GBIF:9206251	Helianthus annuus						Helianthus	annuus											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-11			
	ITIS:134153	Bombyliidae															RO:0002622	visitsFlowersOf		GBIF:9206251	Helianthus annuus						Helianthus	annuus											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-11-11			
